YearLevel,Section,Course,Session,Room,Day,Time,Instructor
BSCS 1-1,BSCS 1-1,COSC 50 - Discrete Structures I,Lecture,ITC 501,Thursday,09:00-12:00,Foxtrot Lim
BSCS 1-1,BSCS 1-1,DCIT 21 - Introduction to Computing,Lecture,ITC 402,Tuesday,07:00-09:00,Kilo Dela Cruz
BSCS 1-1,BSCS 1-1,DCIT 21 - Introduction to Computing,Lab,CCL 402,Tuesday,13:00-16:00,Kilo Dela Cruz
BSCS 1-1,BSCS 1-1,DCIT 22 - Computer Programming 1,Lecture,ITC 502,Thursday,09:00-10:00,Delta Chua
BSCS 1-1,BSCS 1-1,CVSU 101 - Institutional Orientation,Lecture,ITC 402,Wednesday,14:00-15:00,India Ramos
BSCS 1-1,BSCS 1-1,GNED 02 - Ethics,Lecture,ITC 504,Thursday,13:00-16:00,Sample Instructor
BSCS 1-1,BSCS 1-1,GNED 05 - Purposive Communication,Lecture,ITC 502,Monday,11:00-14:00,Sample Instructor
BSCS 1-1,BSCS 1-1,GNED 11 - Kontekstwalisadong Komunikasyon sa Filipino,Lecture,ITC 404,Monday,07:00-10:00,Sample Instructor
BSCS 1-1,BSCS 1-1,FITT 1 - Movement Enhancement,Lecture,ITC 404,Friday,12:00-14:00,Sample Instructor
BSCS 1-1,BSCS 1-1,NSTP 1 - National Service Training Program 1,Lecture,ITC 505,Saturday,09:00-12:00,Sample Instructor
BSCS 1-2,BSCS 1-2,COSC 50 - Discrete Structures I,Lecture,ITC 402,Thursday,13:00-16:00,Foxtrot Lim
BSCS 1-2,BSCS 1-2,DCIT 21 - Introduction to Computing,Lecture,ITC 408,Thursday,07:00-09:00,Kilo Dela Cruz
BSCS 1-2,BSCS 1-2,DCIT 21 - Introduction to Computing,Lab,CCL 402,Tuesday,09:00-12:00,Kilo Dela Cruz
BSCS 1-2,BSCS 1-2,DCIT 22 - Computer Programming 1,Lecture,ITC 502,Thursday,10:00-11:00,Delta Chua
BSCS 1-2,BSCS 1-2,CVSU 101 - Institutional Orientation,Lecture,ITC 502,Wednesday,15:00-16:00,India Ramos
BSCS 1-2,BSCS 1-2,GNED 02 - Ethics,Lecture,ITC 408,Monday,11:00-14:00,Sample Instructor
BSCS 1-2,BSCS 1-2,GNED 05 - Purposive Communication,Lecture,ITC 201,Monday,13:00-16:00,Sample Instructor
BSCS 1-2,BSCS 1-2,GNED 11 - Kontekstwalisadong Komunikasyon sa Filipino,Lecture,ITC 501,Thursday,07:00-10:00,Sample Instructor
BSCS 1-2,BSCS 1-2,FITT 1 - Movement Enhancement,Lecture,ITC 402,Saturday,14:00-16:00,Sample Instructor
BSCS 1-2,BSCS 1-2,NSTP 1 - National Service Training Program 1,Lecture,ITC 505,Friday,12:00-15:00,Sample Instructor
BSCS 1-3,BSCS 1-3,COSC 50 - Discrete Structures I,Lecture,ITC 408,Tuesday,07:00-10:00,Foxtrot Lim
