YearLevel,Section,Course,Session,Room,Day,Time,Instructor
BSCS 2-3,BSCS 2-3,COSC 55 - Discrete Structures II,Lecture,ITC 503,Monday,10:00-13:00,Uniform Fabros
BSCS 2-3,BSCS 2-3,COSC 60 - Digital Logic Design,Lecture,ITC 501,Tuesday,10:00-12:00,Badger Abad
BSCS 2-3,BSCS 2-3,COSC 60 - Digital Logic Design,Lab,CCL 305,Monday,14:00-17:00,Badger Abad
BSCS 2-3,BSCS 2-3,DCIT 50 - Object Oriented Programming,Lecture,ITC 408,Tuesday,09:00-11:00,Hotel Rivera
BSCS 2-3,BSCS 2-3,DCIT 50 - Object Oriented Programming,Lab,CCL 303,Thursday,07:00-10:00,Romeo Aquino
BSCS 2-3,BSCS 2-3,DCIT 24 - Information Management,Lecture,ITC 501,Monday,12:00-14:00,Bravo Santos
BSCS 2-3,BSCS 2-3,DCIT 24 - Information Management,Lab,CCL 306,Tuesday,13:00-16:00,Uniform Fabros
BSCS 2-3,BSCS 2-3,INSY 50 - Fundamentals of Information Systems,Lecture,ITC 404,Wednesday,07:00-10:00,Papa Velasco
BSCS 2-3,BSCS 2-3,GNED 04 - Mga Babasahin Hinggil sa Kasaysayan ng Pilipinas,Lecture,ITC 504,Thursday,10:00-13:00,Sample Instructor
BSCS 2-3,BSCS 2-3,FITT 3 - Physical Activities towards Health and Fitness 1,Lecture,ITC 501,Saturday,08:00-10:00,Sample Instructor
BSCS 2-3,BSCS 2-3,MATH 1 - Analytic Geometry,Lecture,ITC 504,Thursday,13:00-16:00,Sample Instructor
